title_name,title_level,title_amount,title_deadline,title_criterion,title_url
The Puttick Scholarship for Virtual Production and Immersive Media,Phd,"$7,500 per annum for two years",31-Oct-22,"• Have recently completed an undergraduate degree from QUT in a cognate discipline within the creative industries from either: • Creative practice (animation) • Creative practice (film and screen) • Have a GPA of 5.0 or above • Be able to take up the scholarship and begin full-time study preferably in February 2023, but before the end of July 2023 • Develop a research proposal that responds to and aligns with the emerging field of Virtual Production in the context of screen media. Specifically, you should be able to demonstrate knowledge and a passion for the convergence of digital animation, game design and filmmaking • Demonstrate excellent capacity and potential for research • Create an original creative work.",https://www.qut.edu.au/study/fees-and-scholarships/scholarships/the-puttick-scholarship-for-virtual-production-and-immersive-media
Macquarie University Alumni Scholarship,"Master, , Phd",10% of total tuition fees,,"• To be eligible for this scholarship, you must be a full-time international student studying a Master level degree on-campus (or online and/or offshore if impacted by COVID-19 border restrictions) • Be a graduate of a Macquarie University degree. • Be accepted into a Macquarie University Postgraduate Coursework Degree commencing in 2021 or 2022. • Adhere to the terms and conditions of the scholarship.",https://mq.edu.au/study/admissions-and-entry/scholarships/international/macquarie-university-alumni-scholarship
Indian Arts Partner Scholarship,"Master, , Phd",50% in tuition fee,,"• To be eligible for this scholarship, you must be a full-time international student studying a Master level degree on-campus (or online and/or offshore if impacted by COVID-19 border restrictions) • Be enrolled in an undergraduate program or be a recent graduate from the aforementioned colleges. • Achieve a minimum WAM of 65 or equivalent for Postgraduate (coursework) applications. • Hold a full offer for one the courses listed in the 'Applicable course' section (single or double degree). • Must not have received a scholarship or sponsorship from Macquarie University or another organization for the degree (unless stated otherwise by the Scholarship Committee).",https://mq.edu.au/study/admissions-and-entry/scholarships/international/indian-arts-partner-scholarship
International Chancellor's Scholarship for Camden County College,Bachelor,"Up to $12,000 per year",,"• Nonsponsored international F-1 visa students (not sponsored by a government agency but who self-pay) who graduate from Camden County College with an associate of science (A.S.), associate of arts (A.A.), or associate of fine arts (A.F.A.) degree, and meet Rutgers–Camden admission requirements. • Rutgers–Camden will offer a scholarship of $10,000 ($5,000 per semester) to all nonsponsored, international graduates of Camden County College who meet admission requirements and enroll full-time (12 or more credits per semester) at Rutgers–Camden or Rutgers at Camden County College Blackwood campus. • Applicants with final Camden County College GPAs in the ranges below can receive an additional merit scholarship: • 3.0 to 3.5 GPA: additional $2,000 (total scholarship of $12,000; $6,000 per semester) • 3.51 to 4.0 GPA: additional $5,000 (total scholarship of $15,000; $7,500 per semester)",https://admissions.rutgers.edu/international-chancellor-scholarship-ccc
Vice-Chancellor's International Scholarship,"Bachelor, , Master","AUD $10,000 in tuition fees",,"• To be eligible for this scholarship, you must be a full-time international student commencing an undergraduate or postgraduate (coursework) degree on-campus (or online if impacted by COVID-19 border restrictions) • Achieve a minimum WAM equivalent of 65 for Postgraduate applications; or a minimum ATAR equivalent of 85 for Undergraduate applications. • Commence study in the session and year indicated in your scholarship letter of offer.",https://mq.edu.au/study/admissions-and-entry/scholarships/international/vice-chancellor-s-international-scholarship
African Women in STEM Scholarship,"Bachelor, , Master",50% of the total tuition fee,,"• To be eligible for this scholarship, you need to be a female applicant studying a Science, Technology, Engineering or Mathematics degree at an undergraduate or postgraduate level. • You need to be a citizen of the Sub-Saharan Africa* region to be eligible for this scholarship. • Achieve a minimum 65 WAM for Postgraduate or a minimum 85 ATAR (or equivalent) for Undergraduate applications. • Hold a full offer for one the courses listed in the 'Applicable course' section below (single or double degree). • Be a full-time student studying on-campus (or online if impacted by COVID-19 border restrictions) • Must not have received a scholarship or sponsorship from Macquarie University or another organization (unless stated otherwise by the Scholarship Committee).",https://mq.edu.au/study/admissions-and-entry/scholarships/international/african-women-in-stem-scholarship
Macquarie University College Scholarship,Bachelor,"$3,000 in tuition fees",,"• To be eligible for this scholarship, students need to meet the Macquarie University College’s academic requirements for the course and hold a full offer of admission for 2022 or 2023. • Hold a full offer for the Diploma of Business; Diploma of Arts Media and Communications; Diploma of Engineering; Diploma of Information Technology; or the Standard Foundation programs. • Must be a commencing International full fee-paying student. • Be a full-time student studying on-campus (or online if impacted by COVID-19 border restrictions).",https://mq.edu.au/study/admissions-and-entry/scholarships/international/macquarie-university-college-scholarship
Sponsored Student Grant,"Bachelor, , Master, , Phd","AUD $5,000",,"• To be eligible for the scholarship, students must be in receipt of a fully funded external scholarship by Asian scholarship bodies. • Hold a full offer for one the courses listed in the 'Applicable course' section below (single or double degree). • Be a full-time student studying on-campus (or online if impacted by COVID-19 border restrictions). • Achieve a minimum 65 WAM for Postgraduate or a minimum 85 ATAR (or equivalent) for Undergraduate applications. • Commence study in the session and year indicated in your scholarship letter of offer.",https://mq.edu.au/study/admissions-and-entry/scholarships/international/sponsored-student-grant
ASEAN Partner Institution Scholarship,Bachelor,"$15,000 per year",,"• To be eligible for this scholarship, you must be a full-time international student commencing an undergraduate or postgraduate (coursework) degree on-campus (or online if impacted by COVID-19 border restrictions) • Transfer from a Macquarie University ASEAN partner institution on an official dual degree or articulation program. • Achieve a minimum 65 WAM for Postgraduate or a minimum 85 ATAR (or equivalent) for Undergraduate applications. • Must not have received a scholarship or sponsorship from Macquarie University or another organisation for the degree (unless stated otherwise by the Scholarship Committee). • Commence study in the session and year indicated in your scholarship letter of offer.",https://mq.edu.au/study/admissions-and-entry/scholarships/international/asean-partner-institution-scholarship
"Macquarie University $5,000 Regional Scholarship","Bachelor, , Master, , Phd","AUD $5,000 per year",,"• Be eligible for this scholarship, you must be a full-time international student commencing an undergraduate or postgraduate (coursework) degree on-campus (or online if impacted by COVID-19 border restrictions) and meet the following criteria: • Be a citizen of Mongolia, South Korea, Russia, Japan, Lebanon, or one of the countries located in either the ASEAN, South Asia, African, Latin American or European regions.",https://mq.edu.au/study/admissions-and-entry/scholarships/international/macquarie-university-5-000-regional-scholarship
"South Asia $10,000 Early Acceptance Scholarship","Bachelor, , Master, , Phd","AUD $10,000 per year",,"• To be eligible for this scholarship, you must be a full-time international student commencing an undergraduate or postgraduate (coursework) degree on-campus (or online if impacted by COVID-19 border restrictions) • Be a citizen of countries from South Asia (Bangladesh, Nepal, Pakistan, India, and Sri Lanka) • Accept your Letter of Offer and pay the commencement fee by the Acceptance Deadline.",https://mq.edu.au/study/admissions-and-entry/scholarships/international/south-asia-10-000-early-acceptance-scholarship
"ASEAN $10,000 Early Acceptance Scholarship","Bachelor, , Master, , Phd","AUD $10,000 per year",,"• To be eligible for this scholarship, you must be a full-time international student commencing an undergraduate or postgraduate (coursework) degree on-campus (or online if impacted by COVID-19 border restrictions) and meet the following criteria: • Be a citizen of countries from the ASEAN region. • Accept your Letter of Offer and pay the commencement fee by the Acceptance Deadline.",https://mq.edu.au/study/admissions-and-entry/scholarships/international/asean-10-000-early-acceptance-scholarship
Western Golf Association Evans Foundation Scholarship,Bachelor,"An annual award for full-tuition, mandatory fees",,"• Outstanding academic achievement • Commitment to service • Open to students from any college or major • Nominated by sponsoring Western Golf Association Clubs • Full-time undergraduate enrollment, a minimum of 12 graded credits each term. • Maintenance of a minimum 2.5 term or cumulative grade point average; however, Evans Scholars are expected to achieve a GPA above a 3.0. Retaking a course and receiving a new grade in a later term does not change the GPA on record for the term in which the original course grade was received. However, in determining an Evans Scholar’s cumulative GPA, the official GPA posted by the University will be used. An incomplete grade must be made up immediately. When determining scholarship probation and scholarship cancellation, an incomplete grade will be counted as an “F” until it has been made up with a passing grade. All Evans Scholars are required to have at least a 2.5 cumulative GPA at the beginning of each academic year. Summer school is required for Scholars who get below a 2.5 in their spring term. An Evans Scholar will be placed on scholarship probation for failure to achieve a term or cumulative grade point average of 2.5. Scholars that do not receive above a 2.5 GPA, term or cumulative, are responsible to notify the ESF Scholarship Committee. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters (ten semesters for the five-year Architecture program). Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/western-golf-association-evans-foundation-scholarship/
Stinson Scholars Program at Notre Dame,Bachelor,"$25,000 per year in tuition fees, up to four years",,"• Outstanding academic achievement • Commitment to service • Majoring in the College of Engineering • Full-time undergraduate enrollment. • Maintenance of a 3.0 cumulative grade point average. If a scholar’s cumulative GPA falls below this requirement at the conclusion of their second semester of freshman year, or at the conclusion of any semester thereafter, they will be placed on scholarship probation and retain the scholarship for the next semester. They will then have the opportunity to reestablish a cumulative GPA over 3.0. If for two consecutive semesters they have a cumulative average below 3.0, the scholarship will be revoked for the following semester. A scholar will regain the scholarship if their cumulative average returns to 3.0 or higher. • Academic intent in engineering. If a scholar decides to change their academic intent, they must notify the Notre Dame Scholars' Program after three semesters of study in order to switch to another scholarship. Scholars will be moved to another merit scholarship with the equivalent tuition scholarship award. However, if a scholar received enrichment funding as part of their original award, this funding will no longer be guaranteed. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters. Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/stinson-scholars-program-at-notre-dame/
Trustey Family Scholars Program,Bachelor,"$25,000 per year in tuition fees, up to four years",,"• Outstanding academic achievement • Commitment to service • Majoring in the College of Science or Engineering • Full-time undergraduate enrollment. • Maintenance of a 3.0 cumulative grade point average. If a scholar’s cumulative GPA falls below this requirement at the conclusion of their second semester of freshman year, or at the conclusion of any semester thereafter, they will be placed on scholarship probation and retain the scholarship for the next semester. They will then have the opportunity to reestablish a cumulative GPA over 3.0. If for two consecutive semesters they have a cumulative average below 3.0, the scholarship will be revoked for the following semester. Trustey Family Scholars will regain the scholarship if their cumulative average returns to 3.0 or higher. • Academic intent in science or engineering. If a scholar decides to change their academic intent, they must notify the Faculty Director of the Notre Dame Scholars' Program after three semesters of study in order to switch to another scholarship. Scholars will be moved to another merit scholarship with the equivalent tuition scholarship award. However, if a scholar received enrichment funding as part of their original award, this funding will no longer be guaranteed. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters. Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/trustey-family-scholars-program/
"School of Business, Economics and Law Travel Scholarship","Bachelor, , Master, , Phd",The amount varies based in applicants number.,30-Sep-22,"• Be a registered student at the School. • Have been admitted to exchange studies during the following study year (fall or spring). • Make sure the courses you study abroad can be credited toward your degree at the School,. • As a rule, the exchange period should be one full semester. There are exceptions for some programmes and courses, for which a shorter exchange period is allowed.",https://studentportal.gu.se/english/my-studies/handels/hgu-scholarships/handels.gu.se-travel-scholarship;jsessionid=5t3iuqcydykd1pwh57cahif0q?skipSSOCheck=true&referer=https%3A%2F%2Fwww.scholarshipportal.com%2Fscholarship%2Fschool-of-business-economics-and-law-travel-scholarship
The Adlerbert Scholarships,"Bachelor, , Master",€ 1400 per scholarship,16-Sep-22,"• Conducted studies for two semesters at the University of Gothenburg • Acquired at least 30 higher education credits at the University of Gothenburg • Have a registration of at least 30 higher education credits at the University of Gothenburg during the scholarship year, • Only received the scholarship once before.",https://studentportal.gu.se/english/help-and-guidance/finances/scholarships-and-grants/?selectedSegment=the-adlerbert-scholarships&languageId=100001&skipSSOCheck=true
Fulbright-Cardiff University scholarship,"Bachelor, , Master, , Phd",Fee waiver for one year’s overseas tuition fees,11-Oct-22,• Must be a US citizen,https://www.cardiff.ac.uk/study/international/funding-and-fees/international-scholarships/fulbright-cardiff-university-scholarship
Undergraduate International Chancellor's Scholarship,Bachelor,"$10,000 full scholarship",,"• Nonsponsored, international F-1 visa students (not sponsored by a government agency but who self-pay) and meet Rutgers University–Camden admission requirements. • All Undergraduate International Chancellor's Scholarships are renewable if the student maintains a 2.5 GPA at Rutgers–Camden.",https://admissions.rutgers.edu/international-chancellor-scholarship
Undergraduate International Chancellor's Merit Scholarship,Bachelor,"$10,000 full scholarships",,"• Nonsponsored, international F-1 visa students (not sponsored by a government agency but who self-pay) and meet Rutgers University–Camden admission requirements. • All Undergraduate International Chancellor's Scholarships are renewable if the student maintains a 2.5 GPA at Rutgers–Camden.",
Crowley Family Scholarship,Bachelor,"$25,000 per year in tuition fees",,"• Outstanding academic achievement • Commitment to service • Open to students from any college or major • Full-time undergraduate enrollment. • Maintenance of a 3.0 cumulative grade point average. If a scholar’s cumulative GPA falls below this requirement at the conclusion of their second semester of freshman year, or at the conclusion of any semester thereafter, they will be placed on scholarship probation and retain the scholarship for the next semester. They will then have the opportunity to reestablish a cumulative GPA over 3.0. If for two consecutive semesters they have a cumulative average below 3.0, the scholarship will be revoked for the following semester. Crowley Family Scholars will regain the scholarship if their cumulative average returns to 3.0 or higher. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters (ten semesters for the five-year Architecture program). Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/crowley-family-expendable-scholarship/
Suzanne and Walter Scott Scholars Program,Bachelor,"$25,000 per year in tuition fees, up to four years",,"• Outstanding academic achievement • Commitment to service • Demonstrated leadership ability • Open to students from any college or major • Full-time undergraduate enrollment. • Maintenance of a 3.6 cumulative grade point average. If a scholar’s cumulative GPA falls below this requirement at the conclusion of their second semester of freshman year, or at the conclusion of any semester thereafter, they will be placed on scholarship probation and retain the scholarship for the next semester. They will then have the opportunity to reestablish a cumulative GPA over 3.6. If for two consecutive semesters they have a cumulative average below 3.6, the scholarship will be revoked for the following semester. Scott Scholars will regain the scholarship if their cumulative average returns to 3.6 or higher. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters (ten semesters for the five-year Architecture program). Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/suzanne-and-walter-scott-scholars-program/
St. Joseph Engineering Scholarship,Bachelor,"$15,000 per year in tuition fees, up to four years",,"• Outstanding academic achievement • Commitment to service • Majoring in the College of Engineering • Full-time undergraduate enrollment. • Academic intent in engineering. If a scholar decides to change their academic intent, they must notify the Notre Dame Scholars' Program after three semesters of study in order to switch to another scholarship. Scholars will be moved to another merit scholarship with the equivalent tuition scholarship award. However, if a scholar received enrichment funding as part of their original award, this funding will no longer be guaranteed. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters. Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/st-joseph-engineering-scholarship/
Allan J. and Reda Radwan Riley Scholarship,Bachelor,"$25,000 per year in tuition fees, up to four years",,"• Outstanding academic achievement • Commitment to service • Open to students from any college or major • Full-time undergraduate enrollment. • Maintenance of a 3.0 cumulative grade point average. If a scholar’s cumulative GPA falls below this requirement at the conclusion of their second semester of freshman year, or at the conclusion of any semester thereafter, they will be placed on scholarship probation and retain the scholarship for the next semester. They will then have the opportunity to reestablish a cumulative GPA over 3.0. If for two consecutive semesters they have a cumulative average below 3.0, the scholarship will be revoked for the following semester. Riley Scholars will regain the scholarship if their cumulative average returns to 3.0 or higher. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters (ten semesters for the five-year Architecture program). Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/allan-j-and-reda-radwan-riley-scholarships/
William F. Reilly Trustee Scholarship,Bachelor,"$25,000 per year in tuition fees, up to four years",,"• Outstanding academic achievement • Commitment to service • Open to students from any college or major • Full-time undergraduate enrollment. • Maintenance of a 3.0 cumulative grade point average. If a scholar’s cumulative GPA falls below this requirement at the conclusion of their second semester of freshman year, or at the conclusion of any semester thereafter, they will be placed on scholarship probation and retain the scholarship for the next semester. They will then have the opportunity to reestablish a cumulative GPA over 3.0. If for two consecutive semesters they have a cumulative average below 3.0, the scholarship will be revoked for the following semester. Reilly Trustee Scholars will regain the scholarship if their cumulative average returns to 3.0 or higher. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters (ten semesters for the five-year Architecture program). Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/william-f-reilly-trustee-scholarship/
Mulva Scholars Program,Bachelor,"$35,000 per year in tuition fees, up to four years",,"• Outstanding academic achievement • Commitment to service • Exemplary moral character • Demonstrated financial need • Full-time undergraduate enrollment. • Maintenance of a 3.2 cumulative grade point average. If a scholar’s cumulative GPA falls below this requirement at the conclusion of their second semester of freshman year, or at the conclusion of any semester thereafter, they will be placed on scholarship probation and retain the scholarship for the next semester. They will then have the opportunity to reestablish a cumulative GPA over 3.2. If for two consecutive semesters they have a cumulative average below 3.2, the scholarship will be revoked for the following semester. Mulva Scholars will regain the scholarship if their cumulative average returns to 3.2 or higher. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters (ten semesters for the five-year Architecture program). Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/mulva-scholars-program/
Malpass Scholars Program,Bachelor,"$25,000 per year in tuition fees, up to four years",,"• Outstanding academic achievement • Commitment to service • Commitment to major in the Mendoza College of Business with a preference for Finance majors • Full-time undergraduate enrollment. • Maintenance of a 3.4 cumulative grade point average. If a scholar’s cumulative GPA falls below this requirement at the conclusion of their second semester of freshman year, or at the conclusion of any semester thereafter, they will be placed on scholarship probation and retain the scholarship for the next semester. They will then have the opportunity to reestablish a cumulative GPA over 3.4. If for two consecutive semesters they have a cumulative average below 3.4, the scholarship will be revoked for the following semester. Malpass Scholars will regain the scholarship if their cumulative average returns to 3.0 or higher. • Academic intent in the Mendoza College of Business, with a preference for Finance intents. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters. Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/malpass-scholars-program/
Latino Studies Scholars Program,Bachelor,"$25,000 per year in tuition fees, up to four years",,"• Admission to Notre Dame • Demonstrated leadership role in U.S. Latino community through their family, church, school, or nonprofit organization • Full-time undergraduate enrollment. • Maintenance of a 3.0 cumulative grade point average. If a scholar’s cumulative GPA falls below this requirement at the conclusion of their second semester of freshman year, or at the conclusion of any semester thereafter, they will be placed on scholarship probation and retain the scholarship for the next semester. They will then have the opportunity to reestablish a cumulative GPA over 3.0. If for two consecutive semesters they have a cumulative average below 3.0, the scholarship will be revoked for the following semester. Latino Studies Scholars will regain the scholarship if their cumulative average returns to 3.0 or higher. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters (ten semesters for the five-year Architecture program). Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/latino-studies-scholars-program/
Notre Dame Stamps Scholars Program,Bachelor,$12.000,,"• Outstanding academic achievement • Commitment to service • Demonstrated leadership ability • Outstanding moral character • Open to students from any college or major • Full-time undergraduate enrollment. • Maintenance of a 3.0 cumulative grade point average. If a scholar’s cumulative GPA falls below this requirement at the conclusion of their second semester of freshman year, or at the conclusion of any semester thereafter, they will be placed on scholarship probation and retain the scholarship for the next semester. They will then have the opportunity to reestablish a cumulative GPA over 3.0. If for two consecutive semesters they have a cumulative average below 3.0, the scholarship will be revoked for the following semester. Stamps Scholars will regain the scholarship if their cumulative average returns to 3.0 or higher. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters (ten semesters for the five-year Architecture program). Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/stamps-notre-dame-scholarship/
John A. and Virginia M. Kaneb Merit Scholarship,Bachelor,"$25,000 in tuition fees for up to four years",,"• Outstanding academic achievement • Commitment to service • Open to students from any college or major • Full-time undergraduate enrollment. • Maintenance of a 3.0 cumulative grade point average. If a scholar’s cumulative GPA falls below this requirement at the conclusion of their second semester of freshman year, or at the conclusion of any semester thereafter, they will be placed on scholarship probation and retain the scholarship for the next semester. They will then have the opportunity to reestablish a cumulative GPA over 3.0. If for two consecutive semesters they have a cumulative average below 3.0, the scholarship will be revoked for the following semester. A scholar will regain the scholarship if their cumulative average returns to 3.0 or higher. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters (ten semesters for the five-year Architecture program). Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/john-a-and-virginia-m-kaneb-merit-scholarship/
The Hesburgh-Yusko Scholars Program,Bachelor,"$25,000 per year, up to four years in tuition fees",,"• Outstanding academic achievement • Commitment to service • Demonstrated leadership ability • Exemplary moral character • Open to students from any college or major • Full-time undergraduate enrollment. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters (ten semesters for the five-year Architecture program). Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/hesburgh-yusko-scholarship-program/
Frazier Thompson Merit Scholarship,Bachelor,"$15,000 in tuition for up to four years",,"• Excellent academic achievement • Record of outstanding leadership and service to Africana (African, African-American, and African diasporic) communities in the United States • Potential for continued leadership and service to the Africana diaspora at Notre Dame • Full-time undergraduate enrollment. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they should contact the Notre Dame Scholars' Program for more information regarding policies and procedures. • University merit scholarship consideration is given for a maximum of eight semesters (ten semesters for the five-year Architecture program). Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/frazier-thompson-merit-scholarship/
Edward W. Devine Scholarship,Bachelor,"$25,000 in tuition for up to four years",,"• Outstanding academic achievement • Commitment to service • Demonstrated financial need • Open to students from any college or major • Full-time undergraduate enrollment. • Maintenance of a 3.0 cumulative grade point average. If a scholar’s cumulative GPA falls below this requirement at the conclusion of their second semester of freshman year, or at the conclusion of any semester thereafter, they will be placed on scholarship probation and retain the scholarship for the next semester. They will then have the opportunity to reestablish a cumulative GPA over 3.0. If for two consecutive semesters they have a cumulative average below 3.0, the scholarship will be revoked for the following semester. Devine Scholars will regain the scholarship if their cumulative average returns to 3.0 or higher. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters (ten semesters for the five-year Architecture program). Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/edward-w-devine-scholarship/
Besio Family Scholarship,Bachelor,"$25,000 per year for four years, in tuition fees.",,"• Outstanding academic achievement • Commitment to service • Majoring in the College of Engineering or Mendoza College of Business • Full-time undergraduate enrollment. • Maintenance of a 3.0 cumulative grade point average. If a scholar's cumulative GPA falls below this requirement at the conclusion of their second semester of freshman year, or at the conclusion of any semester thereafter, they will be placed on scholarship probation and retain the scholarship for the next semester. They will then have the opportunity to reestablish a cumulative GPA over 3.0. If for two consecutive semesters they have a cumulative average below 3.0, the scholarship will be revoked for the following semester. Besio Scholars will regain their scholarships if their cumulative average returns to 3.0 or higher. • Academic intent in engineering or business. If a scholar decides to change their academic intent, they must notify the Faculty Director of Notre Dame Scholars' Program after three semesters of study in order to switch to another scholarship. Scholars will be moved to another merit scholarship with the equivalent tuition scholarship award. However, if a scholar received enrichment funding as part of their original award, this funding will no longer be guaranteed. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters. Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/besio-family-scholarship/
Cathy and Jack Brennan Family Scholars Program,Bachelor,"$25,000 for up to four years, in tuition fees",,"• Outstanding academic achievement • Commitment to service • Demonstrated financial need • Open to students from any college or major • Full-time undergraduate enrollment. • Maintenance of a 3.0 cumulative grade point average. If a scholar's cumulative GPA falls below this requirement at the conclusion of their second semester of freshman year, or at the conclusion of any semester thereafter, they will be placed on scholarship probation and retain the scholarship for the next semester. They will then have the opportunity to reestablish a cumulative GPA over 3.0. If for two consecutive semesters they have a cumulative average below 3.0, the scholarship will be revoked for the following semester. Brennan Family Scholars will regain their scholarships if their cumulative average returns to 3.0 or higher. • Maintenance of good academic and disciplinary standing. If a scholar is subject to academic or disciplinary probation or dismissal, they will automatically lose their scholarship and status as a scholar and will not be reconsidered. • University merit scholarship consideration is given for a maximum of eight semesters (ten semesters for the five-year Architecture program). Scholarship eligibility is not extended to account for any semester(s) the scholar did not meet scholarship requirements.",https://scholars.nd.edu/awards/list-of-awards/cathy-and-jack-brennan-family-scholars-program/
Alumni Music Scholarship,"Bachelor, , Master, , Phd",£500 for lessons,,• You should be Grade 6 (or above) or equivalent – although we will consider applications from highly competent musicians who have not followed a traditional grade pathway. • Commitment to regular lessons and to practise • Enthusiasm for participation in a University music society • Willingness to perform and to engage with an audience • Readiness to be prepared for additional learning opportunities • Ability to be an ambassador for music at Attenborough Arts Centre,https://le.ac.uk/study/undergraduates/scholarships-bursaries-discounts/music/alumni-music
Family Loyalty Discount,"Bachelor, , Master, , Phd",10% discount on the tuition fee,,• You and your relative must both be (or have been) classified as an international fee paying student. • Siblings can have one or both parents in common. • Children/parents can be related by blood or by marriage. • You cannot become eligible for this discount by marrying someone who is currently studying at the University.,https://le.ac.uk/study/undergraduates/scholarships-bursaries-discounts/family-loyalty
